augment1_grp,Value_Count,average_placement
TFT7_Augment_EvokerEssenceTheft,6,2.33
TFT7_Augment_MysticTrait2,2,2.5
TFT7_Augment_DragonmancerEmblem2,2,2.5
TFT6_Augment_Traitless1,7,2.57
TFT7_Augment_TempestEmblem,2,3.0
TFT7_Augment_RevelPartyFavors,27,3.0
TFT7_Augment_ScalescornEmblem2,12,3.42
TFT7_Augment_GuardianHeroicPresence,6,3.5
TFT6_Augment_Featherweights2,36,3.56
TFT7_Augment_ShapeshifterBeastsDen,9,3.56
TFT7_Augment_CavalierEmblem2,14,3.57
TFT7_Augment_TempestEmblem2,5,3.6
TFT7_Augment_DragonHorde,91,3.62
TFT7_Augment_ShimmerscaleTrait,6,3.67
TFT7_Augment_ScalescornEmblem,30,3.67
TFT7_Augment_WhispersEmblem2,12,3.67
TFT7_Augment_CavalierEmblem,21,3.67
TFT7_Augment_DragonAlliance,103,3.7
TFT7_Augment_BigFriend2,10,3.7
TFT6_Augment_CyberneticImplants3,14,3.71
TFT6_Augment_CyberneticShell3,7,3.71
TFT7_Augment_JadeEmblem,143,3.79
TFT6_Augment_TriForce1,16,3.81
TFT6_Augment_Diversify2,247,3.81
TFT7_Augment_DragonmancerInspire,12,3.83
TFT7_Augment_CavalierForAllUnits,13,3.85
TFT7_Augment_RevelPartyTime,15,3.87
TFT6_Augment_Diversify3,101,3.91
TFT6_Augment_MakeshiftArmor1,100,3.93
TFT7_Augment_MageEmblem2,35,3.94
TFT6_Augment_CyberneticImplants1,37,3.97
TFT7_Augment_ShimmerscaleTrait2,3,4.0
TFT7_Augment_GuildEmblem2,3,4.0
TFT7_Augment_BestFriends2,103,4.0
TFT6_Augment_TriForce3,7,4.0
TFT6_Augment_Meditation2,78,4.01
TFT6_Augment_CyberneticUplink3,20,4.05
TFT7_Augment_JadeTrait2,48,4.06
TFT6_Augment_MaxLevel10,153,4.06
TFT7_Augment_MirageEmblem2,12,4.08
TFT7_Augment_RagewingTantrum,10,4.1
TFT7_Augment_MysticTrait,20,4.1
TFT6_Augment_CyberneticUplink2,52,4.13
TFT6_Augment_Diversify1,350,4.16
TFT6_Augment_Twins3,24,4.17
TFT7_Augment_AssassinEmblem,6,4.17
TFT7_Augment_CursedCrown,26,4.19
TFT7_Augment_MageConference,15,4.2
TFT6_Augment_CyberneticUplink1,70,4.21
TFT6_Augment_LudensEcho1,284,4.23
TFT7_Augment_MirageHallucinate,26,4.23
TFT7_Augment_AssassinEmblem2,4,4.25
TFT6_Augment_RadiantRelics,126,4.25
TFT6_Augment_CyberneticShell2,34,4.26
TFT6_Augment_LudensEcho3,57,4.26
TFT6_Augment_HighEndShopping,159,4.28
TFT6_Augment_CelestialBlessing2,268,4.3
TFT7_Augment_GadgetExpert,144,4.3
TFT6_Augment_Featherweights1,54,4.31
TFT6_Augment_PandorasItems,167,4.31
TFT7_Augment_LategameSpecialist,71,4.31
TFT6_Augment_Electrocharge1,280,4.33
TFT7_Augment_BandOfThieves1,325,4.33
TFT7_Augment_GuardianEmblem2,18,4.33
TFT7_Augment_JadeTrait,58,4.34
TFT6_Augment_ComponentGrabBag,330,4.38
TFT7_Augment_JadePenitence,13,4.38
TFT6_Augment_CyberneticShell1,51,4.41
TFT6_Augment_MakeshiftArmor2,33,4.42
TFT7_Augment_CannoneerEmblem2,26,4.42
TFT6_Augment_FirstAidKit,150,4.43
TFT6_Augment_ThriftShop,53,4.43
TFT6_Augment_Featherweights3,23,4.43
TFT6_Augment_Distancing,106,4.44
TFT7_Augment_CannoneerTrait,94,4.44
TFT6_Augment_ItemGrabBag1,273,4.45
TFT6_Augment_CelestialBlessing3,156,4.45
TFT6_Augment_Twins2,28,4.46
TFT7_Augment_GuardianTrait,31,4.48
TFT6_Augment_TradeSectorPlus,164,4.49
TFT7_Augment_MageTrait,103,4.49
TFT7_Augment_UrfsGrabBag1,189,4.49
TFT6_Augment_Weakspot,401,4.5
TFT7_Augment_MirageTrait,54,4.5
TFT7_Augment_GuildEmblem,6,4.5
TFT7_Augment_MirageEmblem,36,4.5
TFT6_Augment_Ascension,283,4.51
TFT7_Augment_ScalescornTrait,37,4.51
TFT6_Augment_PortableForge,356,4.52
TFT7_Augment_RagewingScorch,17,4.53
TFT6_Augment_LudensEcho2,134,4.54
TFT6_Augment_BinaryAirdrop,25,4.56
TFT6_Augment_ThrillOfTheHunt2,205,4.57
TFT6_Augment_SunfireBoard,124,4.59
TFT7_Augment_WarriorEmblem2,5,4.6
TFT6_Augment_ThrillOfTheHunt1,333,4.6
TFT6_Augment_Electrocharge2,161,4.6
TFT7_Augment_UrfsGrabBag2,89,4.62
TFT7_Augment_WhispersTrait,25,4.64
TFT6_Augment_CelestialBlessing1,358,4.64
TFT6_Augment_TinyTitans,409,4.66
TFT6_Augment_Meditation1,125,4.66
TFT6_Augment_BlueBattery2,105,4.67
TFT7_Augment_SwiftshotPressTheAttack,6,4.67
TFT7_Augment_ShimmerscaleEmblem,21,4.67
TFT7_Augment_JadeEternalProtection,45,4.67
TFT6_Augment_TargetDummies,102,4.67
TFT7_Augment_CannoneerRicochet,53,4.68
TFT7_Augment_CannoneerEmblem,37,4.68
TFT7_Augment_CavalierTrait,50,4.68
TFT6_Augment_SecondWind1,484,4.7
TFT7_Augment_AssassinTrait,7,4.71
TFT6_Augment_SecondWind2,270,4.72
TFT6_Augment_CyberneticImplants2,25,4.72
TFT7_Augment_RevelEmblem2,15,4.73
TFT6_Augment_JeweledLotus,148,4.74
TFT7_Augment_BruiserPersonalTraining,8,4.75
TFT7_Augment_EvokerTrait,12,4.75
TFT6_Augment_Electrocharge3,55,4.75
TFT7_Augment_GuardianEmblem,13,4.77
TFT6_Augment_TriForce2,9,4.78
